chi-square,,,,,,,,,,,,,,,,,
Backbone Model,Dataset,k=5,,k=10,,k=15,,k=17,,k=19,,k=21,,,,,
,,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,,,,
deepfm,Avazu,0.75727,0.39178,0.77858,0.38057,0.785456667,0.376843333,0.786093333,0.376426667,0.786106667,0.376433333,0.78598,0.376426667,,,,
wide&deep,Avazu,0.75714,0.39164,0.778546667,0.380383333,0.78532,0.376866667,0.785836667,0.37666,0.785866667,0.37655,0.785616667,0.376666667,,,,
dcn,Avazu,0.757476667,0.391426667,0.77928,0.379933333,0.78596,0.376616667,0.786223333,0.376353333,0.786496667,0.37631,0.786473333,0.376333333,,,,
fibinet,Avazu,0.755773333,0.397366667,0.781993333,0.37866,0.789943333,0.374356667,0.790366667,0.374043333,0.790136667,0.37402,0.790393333,0.373923333,,,,
,,,,,,,,,,,,,,,,,
Backbone Model,Dataset,k=5,,k=10,,k=15,,k=20,,k=25,,k=30,,k=33,,k=36,
,,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss
deepfm,Criteo,0.688706667,0.527486667,0.751466667,0.49085,0.784673333,0.466026667,0.789626667,0.461833333,0.7928,0.45942,0.7964,0.456433333,0.79951,0.453853333,0.799343333,0.454013333
wide&deep,Criteo,0.688436667,0.52758,0.751403333,0.49087,0.784403333,0.466026667,0.789563333,0.461713333,0.792466667,0.45945,0.796073333,0.456453333,0.799136667,0.45386,0.79917,0.453876667
dcn,Criteo,0.688853333,0.527356667,0.752043333,0.490436667,0.78513,0.46547,0.789973333,0.461376667,0.793046667,0.458953333,0.796613333,0.45637,0.799853333,0.453613333,0.79965,0.453476667
fibinet,Criteo,0.684093333,0.529863333,0.75343,0.489536667,0.787463333,0.463696667,0.793206667,0.458916667,0.79703,0.455486667,0.80119,0.45198,0.804426667,0.449246667,0.804576667,0.449056667
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mutual information,,,,,,,,,,,,,,,,,
Backbone Model,Dataset,k=5,,k=10,,k=15,,k=17,,k=19,,k=21,,,,,
,,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,,,,
deepfm,Avazu,0.70763,0.41452,0.75739,0.39266,0.76537,0.38848,0.76976,0.38601,0.78418,0.37765,0.78552,0.37695,,,,
wide&deep,Avazu,0.70778,0.41443,0.75698,0.39279,0.76547,0.38835,0.76956,0.38621,0.78399,0.37773,0.78569,0.37663,,,,
dcn,Avazu,0.70812,0.41428,0.75755,0.39237,0.76614,0.38807,0.77033,0.38562,0.78511,0.37725,0.78679,0.37594,,,,
fibinet,Avazu,0.70863,0.41421,0.7629,0.38988,0.77064,0.38601,0.77512,0.38333,0.78911,0.37478,0.79017,0.37395,,,,
,,,,,,,,,,,,,,,,,
Backbone Model,Dataset,k=5,,k=10,,k=15,,k=20,,k=25,,k=30,,k=33,,k=36,
,,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss,AUC,Logloss
deepfm,Criteo,0.67301,0.53597,0.71589,0.51337,0.74908,0.4917,0.78106,0.46869,0.79202,0.45995,0.79519,0.45744,0.796,0.45682,0.7976,0.45563
wide&deep,Criteo,0.67311,0.53589,0.7159,0.51334,0.74934,0.49135,0.78097,0.46863,0.79194,0.45985,0.79544,0.45695,0.79657,0.45594,0.79794,0.4548
dcn,Criteo,0.67309,0.53609,0.71595,0.5135,0.74964,0.49135,0.78101,0.46869,0.793,0.45897,0.79596,0.45655,0.79666,0.45584,0.79834,0.4545
fibinet,Criteo,0.67327,0.53588,0.71666,0.5129,0.75254,0.48981,0.78501,0.46544,0.79678,0.45566,0.80014,0.45284,0.80179,0.45133,0.80301,0.45039
